;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;18.19333333333333;13.55;24.57;0.4741900285085043;0.46845943927764894;0.48409049908320106;2.2873650217096926;2.263375826199036;2.302214528593566
1;Round 1;27.501799219970696;34.68666666666667;33.63;35.95;0.9824366927146911;0.9738625764846802;0.9986640373865764;2.074498598939419;2.0464640901521647;2.094182960212688
2;Round 2;47.434743602604556;34.53666666666667;32.36;37.55;1.4963283896446227;1.4804861585299174;1.5213645180066426;2.076959090871071;2.0349298535710405;2.1528404734628586
3;Round 3;61.88157750743247;35.85;35.28;36.37;2.0036410477426316;1.9860985994338989;2.0315648992856343;2.0601142937569974;2.0285841497923713;2.081231351093868
4;Round 4;72.35249626096632;29.756666666666664;28.52;31.58;2.5175458457734847;2.4974408904711405;2.555793793996175;2.1637186028463455;2.143450297358091;2.179294591669536
5;Round 5;79.94153770040309;10.0;10.0;10.0;3.027632384830051;3.0045732378959658;3.069182833035787;2.305445387540266;2.305206513465823;2.305587538063069
6;One_shot;;;;;;;;;;
