;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;17.23;14.87;19.93;0.4768737819459703;0.47144333918889364;0.4797892888387044;2.2978675168290263;2.292284030743572;2.30097803313409
1;Round 1;27.501789720393237;30.52;30.07;31.25;0.9898375246259902;0.9804264982541402;0.9954779426256816;2.021483616857374;1.973304643655372;2.0532504686004365
2;Round 2;47.434743602604556;39.23666666666667;36.71;41.48;1.504239073064592;1.494077773888906;1.5122835159301757;1.775903173623081;1.7352865467900815;1.8061260161802286
3;Round 3;61.88157750743247;43.666666666666664;40.97;45.27;2.017042410373688;2.009725757439931;2.027151119709015;1.641303370472517;1.6252313757796422;1.6726533848306406
4;Round 4;72.35249626096632;48.14666666666667;47.38;49.1;2.5317006521754792;2.524036693572998;2.54683297475179;1.5319853339150535;1.509424076665698;1.5743721287573695
5;Round 5;79.94153770040309;47.48666666666666;45.72;48.89;3.045715680387285;3.029784858226776;3.0634726087252298;1.7952221127930403;1.7634746790542017;1.8135412019841812
6;One_shot;;;;;;;;;;
