;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;54.473333333333336;51.11;56.2;2.1984580238660176;2.178831382592519;2.2239897926648458;1.3804597010088087;1.3450199005853793;1.415598176324459
1;Round 1;27.501789720393237;65.65666666666667;64.75;66.15;4.459539414776696;4.407146950562795;4.514561549822489;1.0468590947063376;1.0313322041040796;1.0700275730294035
2;Round 2;47.434743602604556;72.67666666666666;71.36;73.92;6.778858714633517;6.666210687160492;6.874136292934418;0.8477286154250253;0.8256860494308764;0.8767209871650656
3;Round 3;61.88158700700993;77.12333333333333;76.31;78.5;9.073073727554744;8.892353812853495;9.21423761844635;0.7308472583970755;0.7109796457430896;0.760514370620708
4;Round 4;72.35249626096632;78.62333333333333;77.21;80.0;11.361401731438107;11.136372415224711;11.509154212474822;0.6706672106303421;0.6535924019868417;0.6936378149730166
5;Round 5;79.94154719998055;79.84;79.56;80.12;13.635675160090129;13.363624199231465;13.795920769373575;0.6442427567864523;0.6322519921738169;0.6596120605840707
6;One_shot;;;;;;;;;;
