;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;69.33;67.96;71.52;3.423098566797045;3.3588321844736737;3.5202067414919536;0.9625678476571834;0.9379865322881342;0.9960633430944379
1;Round 1;27.501789720393237;78.87666666666667;77.47;80.05;6.8406089637014595;6.780742065111796;6.929221173127492;0.6818747471157344;0.6749727526284239;0.6867966916402588
2;Round 2;47.434753102182015;82.37666666666667;82.05;83.02;10.277193330393898;10.177515415350596;10.364766033490499;0.5541359419408053;0.5477487630094103;0.5587111676440519
3;Round 3;61.88157750743247;83.86999999999999;83.52;84.15;13.7388967845175;13.608299533526102;13.861126244068146;0.4831749943973463;0.4805774918145231;0.4874492690843694
4;Round 4;72.35249626096632;84.49666666666667;83.89;85.11;17.169938679536184;17.01241142352422;17.339732054869334;0.4487829345571415;0.44745995428251184;0.4500784789357344
5;Round 5;79.94153770040309;84.43333333333334;83.7;84.97;20.6006718966696;20.443369388580322;20.75342887242635;0.4373953389821658;0.43373840189803287;0.4398137943061721
6;One_shot;;;;;;;;;;
