;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;18.233333333333334;16.51;20.62;0.470640766620636;0.46971569061279295;0.47207256555557253;2.296122328602953;2.287033774968608;2.3020117813364016
1;Round 1;27.501789720393237;28.296666666666667;25.36;30.7;1.005795827176836;0.9772878487904867;1.061661998430888;2.1659146459917684;2.0912108915236294;2.2541248584952194
2;Round 2;47.434743602604556;33.17666666666667;32.17;34.82;1.5346097734239368;1.4848236163457236;1.6334242502848306;1.9795890408302104;1.9486172659622738;2.000193333381887
3;Round 3;61.88157750743247;37.660000000000004;36.53;39.0;2.0445835153261824;1.994125199317932;2.144397795200348;1.8769739560357344;1.8466580944597875;1.8990725717886026
4;Round 4;72.35249626096632;38.913333333333334;37.37;39.87;2.555629512998793;2.503785502910614;2.652942891915639;1.8243145234342935;1.8177047574611576;1.8364643203023145
5;Round 5;79.94153770040309;38.34;37.76;39.2;3.066831119855245;3.010225975513458;3.171945337454478;1.8077654777585395;1.7943346491250236;1.8172597058898652
6;One_shot;;;;;;;;;;
