;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;17.466666666666665;11.23;23.85;0.46997061967849735;0.4680775245030721;0.47272104024887085;2.2934755096045296;2.276017593910627;2.3023071636629227
1;Round 1;27.501799219970696;25.16333333333333;23.5;27.99;0.9818842901123895;0.9775638341903686;0.9901263991991679;2.2024310482737355;2.064247662454005;2.2767512462937924
2;Round 2;47.434743602604556;29.09;27.54;30.34;1.4910798033078512;1.4817256053288779;1.5069792151451111;2.00960648720425;1.9529640775202486;2.045993672307495
3;Round 3;61.88157750743247;33.56333333333333;30.1;36.32;2.0024395638042023;1.9906781991322835;2.022512435913086;1.9283993798042094;1.9101362691815857;1.961935063457245
4;Round 4;72.35249626096632;34.88333333333333;32.33;38.33;2.5090438789791527;2.497199277083079;2.5304392139116922;1.8636042266855462;1.8321849747996806;1.9149431545106346
5;Round 5;79.94153770040309;36.546666666666674;34.13;39.84;3.018369400501251;3.0019519130388894;3.043616247177124;1.8608668142165878;1.8327694298971036;1.9019278047029928
6;One_shot;;;;;;;;;;
